id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
647;5;16;17;18;18;19;19;17;19;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
648;5;17;17;16;16;18;20;17;18;20;19;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;5;Muy buena
649;5;17;17;16;17;18;16;16;18;20;18;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
650;5;17;14;16;16;16;16;16;16;17;17;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
651;5;16;13;17;18;17;16;15;17;18;16;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
652;5;17;17;17;18;18;19;16;17;18;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
653;5;17;13;15;16;16;15;16;15;17;13;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
654;5;16;16;17;18;17;16;16;18;20;19;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;3;Buena
655;5;16;17;17;17;20;18;15;17;20;19;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
656;5;16;18;18;17;19;17;17;18;19;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
657;6;16;14;14;19;15;15;17;17;16;12;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
658;6;16;16;15;18;17;19;16;19;19;17;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
659;6;17;12;14;19;14;18;14;17;18;12;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
660;6;16;14;15;19;14;15;14;14;16;15;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;5;Buena
661;6;17;17;17;20;16;16;17;19;18;16;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
662;6;16;12;14;19;16;13;14;15;16;12;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
663;6;16;14;17;20;15;15;14;15;17;13;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
664;6;17;16;16;19;17;18;17;18;19;18;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
